INFO  2012-03-12 11:07:28,273 [uva.arrm_RequestHandler_7af70008_getStatus] - duration_reply_settype 1ms
INFO  2012-03-12 11:07:28,277 [uva.arrm_RequestHandler_7af70008_getStatus] - duration_serializer_2 4ms
INFO  2012-03-12 11:07:28,277 [uva.arrm_RequestHandler_7af70008_getStatus] - duration_requestHandler 7ms
DEBUG 2012-03-12 11:07:28,285 [uva.arrm_RequestHandler_7af70009_cancelReservation] - start_requestHandler
INFO  2012-03-12 11:07:28,287 [uva.arrm_RequestHandler_7af70009_cancelReservation] - duration_serializer_1 2ms
INFO  2012-03-12 11:07:28,287 [uva.arrm_RequestHandler_7af70009_cancelReservation] - duration_validator 0ms
INFO  2012-03-12 11:07:28,288 [uva.arrm_RequestHandler_7af70009_cancelReservation] - duration_processing 1ms
INFO  2012-03-12 11:07:28,288 [uva.arrm_RequestHandler_7af70009_cancelReservation] - duration_reply_settype 0ms
INFO  2012-03-12 11:07:28,291 [uva.arrm_RequestHandler_7af70009_cancelReservation] - duration_serializer_2 3ms
INFO  2012-03-12 11:07:28,291 [uva.arrm_RequestHandler_7af70009_cancelReservation] - duration_requestHandler 6ms
DEBUG 2012-03-12 11:07:28,294 [uva.arrm_RequestHandler_7af7000a_getStatus] - start_requestHandler
INFO  2012-03-12 11:07:28,295 [uva.arrm_RequestHandler_7af7000a_getStatus] - duration_serializer_1 1ms
INFO  2012-03-12 11:07:28,295 [uva.arrm_RequestHandler_7af7000a_getStatus] - duration_validator 0ms
INFO  2012-03-12 11:07:28,295 [uva.arrm_RequestHandler_7af7000a_getStatus] - duration_processing 0ms
INFO  2012-03-12 11:07:28,296 [uva.arrm_RequestHandler_7af7000a_getStatus] - duration_reply_settype 1ms
INFO  2012-03-12 11:07:28,298 [uva.arrm_RequestHandler_7af7000a_getStatus] - duration_serializer_2 2ms
INFO  2012-03-12 11:07:28,298 [uva.arrm_RequestHandler_7af7000a_getStatus] - duration_requestHandler 4ms
DEBUG 2012-03-12 11:07:28,308 [uva.arrm_RequestHandler_7af7000b_getReservations] - start_requestHandler
INFO  2012-03-12 11:07:28,309 [uva.arrm_RequestHandler_7af7000b_getReservations] - duration_serializer_1 1ms
INFO  2012-03-12 11:07:28,309 [uva.arrm_RequestHandler_7af7000b_getReservations] - duration_validator 0ms
INFO  2012-03-12 11:07:28,311 [uva.arrm_RequestHandler_7af7000b_getReservations] - duration_processing 2ms
INFO  2012-03-12 11:07:28,312 [uva.arrm_RequestHandler_7af7000b_getReservations] - duration_reply_settype 1ms
INFO  2012-03-12 11:07:28,316 [uva.arrm_RequestHandler_7af7000b_getReservations] - duration_serializer_2 4ms
INFO  2012-03-12 11:07:28,316 [uva.arrm_RequestHandler_7af7000b_getReservations] - duration_requestHandler 8ms
DEBUG 2012-03-12 11:07:28,330 [uva.arrm_RequestHandler_7af7000c_bind] - start_requestHandler
INFO  2012-03-12 11:07:28,332 [uva.arrm_RequestHandler_7af7000c_bind] - duration_serializer_1 2ms
INFO  2012-03-12 11:07:28,332 [uva.arrm_RequestHandler_7af7000c_bind] - duration_validator 0ms
DEBUG 2012-03-12 11:07:28,373 [uva.arrm_RequestHandler_7af7000d_getDomains] - start_requestHandler
INFO  2012-03-12 11:07:28,374 [uva.arrm_RequestHandler_7af7000d_getDomains] - duration_serializer_1 1ms
INFO  2012-03-12 11:07:28,374 [uva.arrm_RequestHandler_7af7000d_getDomains] - duration_validator 0ms
INFO  2012-03-12 11:07:28,375 [uva.arrm_RequestHandler_7af7000d_getDomains] - duration_processing 1ms
INFO  2012-03-12 11:07:28,375 [uva.arrm_RequestHandler_7af7000d_getDomains] - duration_reply_settype 0ms
INFO  2012-03-12 11:07:28,378 [uva.arrm_RequestHandler_7af7000d_getDomains] - duration_serializer_2 3ms
